batch_size | beta | epoch | initializer | rbf_neurons,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_betas,param_epochs,param_initializer,param_rbf_neurons,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
16_0.1_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,298.5286183357239,0.40000421571722977,1.79685640335083,0.15576092449635237,16,0.1,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 16, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.9317499995231628,0.9301000237464905,0.9151999950408936,0.925683339436849,0.007443385757796809,1
16_0.1_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_50,415.79447452227276,2.393483521803611,1.7062933444976807,0.022963505471024406,16,0.1,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,50,"{'batch_size': 16, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 50}",0.9254000186920166,0.9125499725341797,0.9222999811172485,0.9200833241144816,0.0054751619620227706,2
32_0.1_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_50,402.8801540533702,3.861782144226659,1.5252761840820312,0.013585390566532877,32,0.1,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,50,"{'batch_size': 32, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 50}",0.9184499979019165,0.9114500284194946,0.9198499917984009,0.9165833393732706,0.003674520988162148,3
64_0.1_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_50,443.2159782250722,37.55870042139611,1.7031981945037842,0.22940458439298078,64,0.1,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,50,"{'batch_size': 64, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 50}",0.9134500026702881,0.9103500247001648,0.9139000177383423,0.9125666817029318,0.0015781433376609994,4
32_0.1_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,332.51356315612793,1.5077124309528926,1.747977574666341,0.028646024294614086,32,0.1,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 32, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.922249972820282,0.9000499844551086,0.913349986076355,0.9118833144505819,0.009122251735795787,5
64_0.1_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,291.77559248606366,0.6180365332536866,1.5737981001536052,0.018537601007052297,64,0.1,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 64, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.9035999774932861,0.9020500183105469,0.9108499884605408,0.9054999947547913,0.0038355719135229347,6
16_0.1_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,227.78823932011923,3.7386422341907792,1.1067969004313152,0.010959235701835055,16,0.1,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 16, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.9074000120162964,0.9005500078201294,0.9053500294685364,0.9044333497683207,0.0028706405355445152,7
16_0.1_20_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_50,232.78222703933716,4.347089435115014,2.0188635190327964,0.4777247326678191,16,0.1,20,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,50,"{'batch_size': 16, 'betas': 0.1, 'epochs': 20, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 50}",0.8953999876976013,0.9024999737739563,0.9057999849319458,0.9012333154678345,0.004339224436612591,8
16_0.1_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,118.74038290977478,0.04911759657706975,1.6848355929056804,0.014071285406164829,16,0.1,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 16, 'betas': 0.1, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.8937000036239624,0.9031500220298767,0.9059000015258789,0.9009166757265726,0.005224995310017234,9
32_1.0_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,311.8969666163127,19.099471250212606,1.7764635880788167,0.18652107888997804,32,1.0,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 32, 'betas': 1.0, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.9002500176429749,0.894349992275238,0.9068499803543091,0.9004833300908407,0.005105764814924166,10
32_0.1_20_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,112.65683229764302,1.123284593660432,1.4986035823822021,0.020727607275605065,32,0.1,20,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 32, 'betas': 0.1, 'epochs': 20, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.9053000211715698,0.8907999992370605,0.8996000289916992,0.8985666831334432,0.00596453472744766,11
16_1.0_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_50,406.7802969614665,4.78720481907598,1.6828498045603435,0.00950745599686969,16,1.0,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,50,"{'batch_size': 16, 'betas': 1.0, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 50}",0.8969500064849854,0.9008499979972839,0.8971999883651733,0.8983333309491476,0.001782476275389052,12
16_0.1_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,167.27106086413065,0.7157670180281971,1.1665882269541423,0.0867925229153793,16,0.1,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 16, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.9003999829292297,0.8922500014305115,0.899150013923645,0.897266666094462,0.003583833970450135,13
16_1.0_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_50,285.6600734392802,1.6510659100170848,1.68874724706014,0.02151664585669143,16,1.0,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,50,"{'batch_size': 16, 'betas': 1.0, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 50}",0.8899999856948853,0.8985999822616577,0.9024500250816345,0.8970166643460592,0.005204551975549449,14
32_0.1_50_<__main__.InitCentersKMeans object at 0x7fe2dea7c340>_20,190.8200922012329,0.7764545721277749,1.0274052619934082,0.2552166219756127,32,0.1,50,<__main__.InitCentersKMeans object at 0x7fe2dea7c340>,20,"{'batch_size': 32, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersKMeans object at 0x7fe2dea7c340>, 'rbf_neurons': 20}",0.8849499821662903,0.8949000239372253,0.9017000198364258,0.8938500086466471,0.006878364125796946,15
32_0.1_50_<__main__.InitCentersRandom object at 0x7fe2dea7cf70>_20,145.0461684068044,2.2942171987632243,1.14449938138326,0.2051881578050274,32,0.1,50,<__main__.InitCentersRandom object at 0x7fe2dea7cf70>,20,"{'batch_size': 32, 'betas': 0.1, 'epochs': 50, 'initializer': <__main__.InitCentersRandom object at 0x7fe2dea7cf70>, 'rbf_neurons': 20}",0.8947499990463257,0.8920000195503235,0.8924499750137329,0.8930666645367941,0.0012043881663866057,16
